title,year,genres,director,duration_min,imdb_score,content_rating
The Shawshank Redemption,1994,Drama,Frank Darabont,142,9.3,R
Spirited Away,2001,Animation|Adventure|Family,Hayao Miyazaki,125,8.6,PG
Mad Max: Fury Road,2015,Action|Adventure|Sci-Fi,George Miller,120,8.1,R
Amelie,2001,Comedy|Romance,Jean-Pierre Jeunet,122,8.3,R
The Social Network,2010,Biography|Drama,David Fincher,120,7.7,PG-13
Arrival,2016,Drama|Sci-Fi|Mystery,Denis Villeneuve,116,7.9,PG-13
Groundhog Day,1993,Comedy|Fantasy|Romance,Harold Ramis,101,8.0,PG
Alien,1979,Horror|Sci-Fi,Ridley Scott,117,8.4,R
Before Sunrise,1995,Drama|Romance,Richard Linklater,101,8.1,R
The Grand Budapest Hotel,2014,Adventure|Comedy|Drama,Wes Anderson,99,8.1,R
Whiplash,2014,Drama|Music,Damien Chazelle,106,8.5,R
Jurassic Park,1993,Adventure|Sci-Fi|Thriller,Steven Spielberg,127,8.1,PG-13
Paddington 2,2017,Adventure|Comedy|Family,Paul King,103,7.8,PG
No Country for Old Men,2007,Crime|Drama|Thriller,Ethan Coen,122,8.1,R
Ratatouille,2007,Animation|Comedy|Family,Brad Bird,111,8.0,G
Heat,1995,Crime|Drama|Thriller,Michael Mann,170,8.2,R
Little Miss Sunshine,2006,Comedy|Drama,Jonathan Dayton,101,7.8,R
Blade Runner 2049,2017,Drama|Mystery|Sci-Fi,Denis Villeneuve,164,8.0,R
The Truman Show,1998,Comedy|Drama,Peter Weir,103,8.1,PG
Moonrise Kingdom,2012,Adventure|Comedy|Drama,Wes Anderson,94,7.8,PG-13
